longitude,latitude,area,type
0.222,51.380,7838,graveyard
-2.280,51.386,4115,graveyard
0.138,51.425,2390,graveyard
0.133,51.425,2017,graveyard
-5.604,57.284,6043,graveyard
-3.482,50.745,4824,graveyard
-3.693,50.737,1975,graveyard
-1.186,51.797,2668,graveyard
-3.881,56.265,2628,graveyard
-3.301,50.677,4473,graveyard
-1.174,51.740,3292,graveyard
-1.707,52.187,12272,graveyard
-1.015,52.210,8851,graveyard
-1.092,51.717,7127,graveyard
-1.136,51.748,4890,graveyard
-1.864,52.413,17610,graveyard
-0.890,51.551,3194,graveyard
-1.768,52.718,3678,graveyard
-1.917,52.461,5025,graveyard
-0.773,51.568,5348,graveyard
-2.185,51.257,599,graveyard
-0.476,52.649,2578,graveyard
-4.498,55.610,2090,graveyard
-0.964,50.824,5018,graveyard
-2.277,51.792,7667,graveyard
-3.455,50.650,2954,graveyard
-2.222,51.788,1819,graveyard
-3.326,50.906,2902,graveyard
-2.576,51.703,3384,graveyard
-3.170,55.972,9213,graveyard
-4.066,51.628,12223,graveyard
-2.223,52.139,11287,graveyard
-1.229,51.712,1546,graveyard
0.075,52.093,3461,graveyard
-3.370,50.885,2849,graveyard
-3.279,50.753,7723,graveyard
-3.779,50.492,6289,graveyard
-2.328,52.111,7385,graveyard
-1.160,51.210,2287,graveyard
-3.135,50.862,4020,graveyard
-3.134,50.862,2327,graveyard
-2.144,51.871,6794,graveyard
0.863,51.890,4343,graveyard
-3.221,50.863,1780,graveyard
-1.567,54.726,2018,graveyard
-4.186,50.478,4980,graveyard
1.116,52.145,5716,graveyard
-2.123,52.541,4039,graveyard
-5.241,56.125,5051,graveyard
-5.236,56.429,10553,graveyard
-0.635,51.214,1645,graveyard
1.246,52.113,8681,graveyard
-2.182,51.434,11084,graveyard
-1.398,50.869,2557,graveyard
-3.622,50.538,14710,graveyard
-0.527,53.118,3750,graveyard
-1.034,51.451,19114,graveyard
-1.971,52.625,3994,graveyard
-0.246,51.690,6306,graveyard
-0.038,52.797,8880,graveyard
-3.403,50.676,5080,graveyard
-1.291,50.847,7709,graveyard
1.254,52.005,4691,graveyard
-0.260,51.568,14089,graveyard
-0.912,51.404,7020,graveyard
-0.529,53.109,4317,graveyard
-0.649,51.149,9307,graveyard
0.488,52.095,11529,graveyard
-2.640,53.689,4457,graveyard
-0.722,51.895,11148,graveyard
-3.526,50.661,6705,graveyard
-3.295,50.769,1838,graveyard
-0.649,53.877,5036,graveyard
-0.112,51.505,4974,graveyard
-1.477,52.852,2484,graveyard
-1.782,51.709,9266,graveyard
0.162,51.539,7920,graveyard
-1.085,53.772,9144,graveyard
-2.080,52.030,2196,graveyard
-1.786,51.734,1707,graveyard
-3.543,50.397,3422,graveyard
-3.594,50.545,649,graveyard
1.742,52.486,36441,graveyard
0.899,51.137,3159,graveyard
-3.682,50.690,4782,graveyard
