from,to,volume
ME,LA,35
ME,ME,-1
ME,MD,990
ME,MA,3188
ME,MI,410
ME,MN,249
ME,MS,52
ME,MO,182
ME,MT,54
ME,NE,7
ME,NV,0
ME,NH,4016
ME,NJ,101
ME,NM,257
ME,NY,731
ME,NC,1235
ME,ND,0
ME,OH,761
ME,OK,0
ME,OR,406
ME,PA,916
ME,RI,606
ME,SC,192
ME,SD,0
ME,TN,576
ME,TX,815
ME,UT,98
ME,VT,455
ME,VA,535
ME,WA,421
ME,WV,74
ME,WI,186
ME,WY,15
MD,AL,493
MD,AK,548
MD,AZ,2955
MD,AR,470
MD,CA,11042
MD,CO,3454
MD,CT,1182
MD,DE,5639
MD,DC,12735
MD,FL,15173
MD,GA,5797
MD,HI,574
MD,ID,75
MD,IL,3011
MD,IN,1192
MD,IA,0
MD,KS,871
MD,KY,1689
MD,LA,516
MD,ME,377
MD,MD,-1
MD,MA,3439
MD,MI,1174
MD,MN,1330
MD,MS,391
MD,MO,682
MD,MT,0
MD,NE,579
MD,NV,474
MD,NH,423
MD,NJ,2788
MD,NM,162
MD,NY,7775
MD,NC,8717
MD,ND,281
MD,OH,2272
MD,OK,871
MD,OR,327
MD,PA,20660
MD,RI,521
MD,SC,7826
MD,SD,144
MD,TN,1470
MD,TX,13777
MD,UT,743
MD,VT,357
MD,VA,28366
MD,WA,4526
MD,WV,3876
MD,WI,579
MD,WY,0
MA,AL,445
MA,AK,170
MA,AZ,1299
MA,AR,139
MA,CA,17529
MA,CO,3949
MA,CT,7630
MA,DE,481
MA,DC,1664
MA,FL,20314
MA,GA,2577
MA,HI,656
MA,ID,0
MA,IL,3956
MA,IN,1010
MA,IA,514
MA,KS,1424
MA,KY,239
MA,LA,630
MA,ME,5775
MA,MD,1753
MA,MA,-1
MA,MI,3536
MA,MN,819
MA,MS,346
MA,MO,497
MA,MT,413
MA,NE,512
MA,NV,1992
MA,NH,20416
MA,NJ,4754
MA,NM,449
MA,NY,13568
MA,NC,5822
MA,ND,0
MA,OH,3415
MA,OK,701
MA,OR,1425
MA,PA,5651
MA,RI,11413
MA,SC,4451
MA,SD,0
MA,TN,3592
MA,TX,5528
MA,UT,1909
MA,VT,3819
MA,VA,5622
MA,WA,4418
MA,WV,384
MA,WI,1160
MA,WY,251
MI,AL,2231
MI,AK,791
MI,AZ,4477
MI,AR,584
MI,CA,10335
MI,CO,4253
MI,CT,819
MI,DE,153
MI,DC,486
MI,FL,20852
MI,GA,5592
MI,HI,115
MI,ID,212
MI,IL,9210
MI,IN,7972
MI,IA,1504
MI,KS,825
MI,KY,2912
MI,LA,1637
MI,ME,1320
MI,MD,1635
MI,MA,2118
MI,MI,-1
MI,MN,2043
MI,MS,675
MI,MO,2369
MI,MT,142
MI,NE,665
MI,NV,1157
MI,NH,1002
MI,NJ,960
MI,NM,851
MI,NY,3743
MI,NC,5793
MI,ND,411
MI,OH,15409
MI,OK,1395
MI,OR,2412
MI,PA,3138
MI,RI,151
MI,SC,2721
MI,SD,150
MI,TN,4814
MI,TX,8070
MI,UT,1477
MI,VT,107
MI,VA,3135
MI,WA,3607
MI,WV,321
MI,WI,4737
MI,WY,1117
MN,AL,915
MN,AK,586
MN,AZ,6206
MN,AR,196
MN,CA,6221
MN,CO,5208
MN,CT,106
MN,DE,0
MN,DC,143
MN,FL,6820
MN,GA,1042
MN,HI,363
MN,ID,631
MN,IL,4498
MN,IN,1345
MN,IA,6286
MN,KS,835
MN,KY,434
MN,LA,274
MN,ME,75
MN,MD,284
MN,MA,1578
MN,MI,1195
MN,MN,-1
MN,MS,28
MN,MO,2160
MN,MT,2505
MN,NE,2242
MN,NV,1070
MN,NH,52
MN,NJ,353
MN,NM,641
MN,NY,1286
MN,NC,3342
MN,ND,10670
MN,OH,1405
MN,OK,1167
MN,OR,1693
MN,PA,2019
MN,RI,0
MN,SC,366
MN,SD,3822
MN,TN,375
MN,TX,7291
MN,UT,531
MN,VT,461
MN,VA,1616
MN,WA,2131
MN,WV,70
MN,WI,19632
MN,WY,59
MS,AL,7653
MS,AK,330
MS,AZ,1780
MS,AR,2568
MS,CA,2393
MS,CO,597
MS,CT,0
MS,DE,148
MS,DC,146
MS,FL,2984
MS,GA,2967
MS,HI,219
MS,ID,209
MS,IL,2169
MS,IN,1134
MS,IA,379
MS,KS,176
MS,KY,407
MS,LA,7505
MS,ME,214
MS,MD,888
MS,MA,78
MS,MI,1124
MS,MN,415
MS,MS,-1
MS,MO,2814
MS,MT,0
MS,NE,353
MS,NV,459
MS,NH,0
MS,NJ,239
MS,NM,1010
MS,NY,447
MS,NC,3441
MS,ND,275
MS,OH,2527
MS,OK,446
MS,OR,1070
MS,PA,1287
MS,RI,0
MS,SC,895
MS,SD,231
MS,TN,11641
MS,TX,8663
MS,UT,216
MS,VT,0
MS,VA,2832
MS,WA,614
MS,WV,0
MS,WI,559
MS,WY,65
MO,AL,1851
MO,AK,938
MO,AZ,4476
MO,AR,9400
MO,CA,7981
MO,CO,6803
MO,CT,69
MO,DE,0
MO,DC,201
MO,FL,9774
MO,GA,2889
MO,HI,1129
MO,ID,359
MO,IL,15055
MO,IN,4404
MO,IA,4338
MO,KS,27726
MO,KY,2910
MO,LA,679
MO,ME,349
MO,MD,1253
MO,MA,1227
MO,MI,1926
MO,MN,2483
MO,MS,1991
MO,MO,-1
MO,MT,187
MO,NE,2835
MO,NV,1130
MO,NH,359
MO,NJ,336
MO,NM,675
MO,NY,2335
MO,NC,2993
MO,ND,540
MO,OH,3410
MO,OK,5861
MO,OR,681
MO,PA,979
MO,RI,287
MO,SC,2960
MO,SD,191
MO,TN,5139
MO,TX,21257
MO,UT,977
MO,VT,126
MO,VA,4988
MO,WA,2837
MO,WV,71
MO,WI,2670
MO,WY,914
MT,AL,76
MT,AK,534
MT,AZ,1419
MT,AR,76
MT,CA,2481
MT,CO,3731
MT,CT,35
MT,DE,0
MT,DC,92
MT,FL,1007
MT,GA,1018
MT,HI,165
MT,ID,2880
MT,IL,317
MT,IN,248
MT,IA,499
MT,KS,411
MT,KY,109
MT,LA,222
MT,ME,246
MT,MD,223
MT,MA,216
MT,MI,527
MT,MN,812
MT,MS,432
MT,MO,499
MT,MT,-1
MT,NE,108
MT,NV,515
MT,NH,0
MT,NJ,0
MT,NM,303
MT,NY,372
MT,NC,331
MT,ND,2167
MT,OH,677
MT,OK,46
MT,OR,1515
MT,PA,328
MT,RI,0
MT,SC,553
MT,SD,428
MT,TN,122
MT,TX,1626
MT,UT,1548
MT,VT,0
MT,VA,0
MT,WA,4467
MT,WV,0
MT,WI,410
MT,WY,1501
NE,AL,756
NE,AK,413
NE,AZ,1663
NE,AR,76
NE,CA,3619
NE,CO,6025
NE,CT,0
NE,DE,86
NE,DC,0
NE,FL,3893
NE,GA,2097
NE,HI,481
NE,ID,146
NE,IL,881
NE,IN,286
NE,IA,8119
NE,KS,2042
NE,KY,90
NE,LA,44
NE,ME,0
NE,MD,576
NE,MA,194
NE,MI,1147
NE,MN,1830
NE,MS,59
NE,MO,2071
NE,MT,93
NE,NE,-1
NE,NV,671
NE,NH,0
NE,NJ,167
NE,NM,344
NE,NY,866
NE,NC,1052
NE,ND,13
NE,OH,1796
NE,OK,965
NE,OR,96
NE,PA,328
NE,RI,37
NE,SC,541
NE,SD,3735
NE,TN,913
NE,TX,2959
NE,UT,377
NE,VT,27
NE,VA,407
NE,WA,1354
NE,WV,0
NE,WI,345
NE,WY,782
NV,AL,97
NV,AK,2013
NV,AZ,8057
NV,AR,84
NV,CA,22433
NV,CO,3455
NV,CT,149
NV,DE,0
NV,DC,36
NV,FL,3772
NV,GA,674
NV,HI,502
NV,ID,3736
NV,IL,1555
NV,IN,1470
NV,IA,817
NV,KS,636
NV,KY,270
NV,LA,2065
NV,ME,23
NV,MD,120
NV,MA,321
NV,MI,1684
NV,MN,848
NV,MS,1023
NV,MO,1481
NV,MT,251
NV,NE,567
NV,NV,-1
NV,NH,453
NV,NJ,204
NV,NM,868
NV,NY,1853
NV,NC,857
NV,ND,14
NV,OH,1460
NV,OK,1106
NV,OR,5375
NV,PA,409
NV,RI,42
NV,SC,375
NV,SD,56
NV,TN,789
NV,TX,6215
NV,UT,4383
NV,VT,110
NV,VA,1198
NV,WA,4222
NV,WV,27
NV,WI,1350
NV,WY,286
NH,AL,0
NH,AK,0
NH,AZ,1500
NH,AR,156
NH,CA,682
NH,CO,183
NH,CT,939
NH,DE,157
NH,DC,130
NH,FL,5137
NH,GA,103
NH,HI,0
NH,ID,0
NH,IL,42
NH,IN,348
NH,IA,0
NH,KS,0
NH,KY,179
NH,LA,0
NH,ME,4731
NH,MD,1065
NH,MA,11251
NH,MI,622
NH,MN,110
NH,MS,0
NH,MO,0
NH,MT,257
NH,NE,0
NH,NV,165
NH,NH,-1
NH,NJ,946
NH,NM,538
NH,NY,2474
NH,NC,1862
NH,ND,0
NH,OH,28
NH,OK,0
NH,OR,0
NH,PA,917
NH,RI,677
NH,SC,787
NH,SD,56
NH,TN,649
NH,TX,1166
NH,UT,269
NH,VT,2877
NH,VA,1464
NH,WA,580
NH,WV,0
NH,WI,251
NH,WY,335
NJ,AL,1213
NJ,AK,335
NJ,AZ,4084
NJ,AR,277
NJ,CA,11666
NJ,CO,1780
NJ,CT,4573
NJ,DE,6112
NJ,DC,2382
NJ,FL,30105
NJ,GA,9055
NJ,HI,24
NJ,ID,27
NJ,IL,3488
NJ,IN,2482
NJ,IA,20
NJ,KS,613
NJ,KY,114
NJ,LA,629
NJ,ME,389
NJ,MD,6333
NJ,MA,8026
NJ,MI,2313
NJ,MN,231
NJ,MS,154
NJ,MO,1628
NJ,MT,90
NJ,NE,255
NJ,NV,2179
NJ,NH,534
NJ,NJ,-1
NJ,NM,1021
NJ,NY,36401
NJ,NC,11947
NJ,ND,170
NJ,OH,3585
NJ,OK,390
NJ,OR,1143
NJ,PA,43726
NJ,RI,1038
NJ,SC,4921
NJ,SD,0
NJ,TN,2231
NJ,TX,5906
NJ,UT,646
NJ,VT,1343
NJ,VA,9605
NJ,WA,4488
NJ,WV,546
NJ,WI,1098
NJ,WY,5
NM,AL,58
NM,AK,489
NM,AZ,6866
NM,AR,214
NM,CA,3822
NM,CO,11444
NM,CT,0
NM,DE,30
NM,DC,0
NM,FL,2558
NM,GA,1619
NM,HI,122
NM,ID,181
NM,IL,1041
NM,IN,666
NM,IA,358
NM,KS,683
NM,KY,598
NM,LA,1235
NM,ME,97
NM,MD,1195
NM,MA,78
NM,MI,331
NM,MN,406
NM,MS,0
NM,MO,605
NM,MT,1118
NM,NE,455
NM,NV,2121
NM,NH,102
NM,NJ,0
NM,NM,-1
NM,NY,647
NM,NC,2306
NM,ND,1285
NM,OH,1148
NM,OK,1528
NM,OR,1440
NM,PA,1335
NM,RI,43
NM,SC,944
NM,SD,299
NM,TN,366
NM,TX,17670
NM,UT,1014
